PRODUTOS;;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5
511789;Funil De Plástico Grande - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/funil_de_plastico_grande_plasutil_511789_1_15c798c6714debc8d4e482123f2d9b9e_20240123154155.jpg;;;;
511787;Funil De Plástico Pequeno - Plasútil;https://images.tcdn.com.br/img/img_prod/1265869/funil_de_plastico_pequeno_plasutil_511787_1_1c4f33253fb47d45c3d98b27722b47ee_20240123154155.jpg;;;;
508051;Funil Doce Para Moedor De Carne Elétrico-B08;https://images.tcdn.com.br/img/img_prod/1265869/funil_doce_para_moedor_de_carne_eletrico_b08_508051_1_e5f9d97f182528f0f7f93bf05b506374_20240123154523.jpg;;;;
505783;Funil Inox Para Máquina Nº10 - Malta;https://images.tcdn.com.br/img/img_prod/1265869/funil_inox_para_maquina_no_10_malta_505783_1_f5f6ea4179d9d3149dc7517f561158fc_20240123153156.jpg;;;;
505785;Funil Inox Para Máquina Nº22 - Malta;https://images.tcdn.com.br/img/img_prod/1265869/funil_inox_para_maquina_no_22_malta_505785_1_f5f6ea4179d9d3149dc7517f561158fc_20240123153156.jpg;;;;
505781;Funil Inox Para Máquina Nº8 - Malta;https://images.tcdn.com.br/img/img_prod/1265869/funil_inox_para_maquina_no_8_malta_505781_1_f5f6ea4179d9d3149dc7517f561158fc_20240123153156.jpg;;;;
501939;Funil P/ Galao Leite;https://images.tcdn.com.br/img/img_prod/1265869/funil_p_galao_leite_501939_1_3e73b5404a2fe96d8c564219162c63aa_20240123152854.jpg;;;;
503555;Funil Para Coador De Leite Com Peneira - Sgamaq;https://images.tcdn.com.br/img/img_prod/1265869/funil_para_coador_de_leite_com_peneira_sgamaq_503555_1_79fa3198b83c9f881cebcf3117cc9efa_20240123154254.jpg;;;;
508119;Funil Para Ensacadeira - B2L Fino/16mm;https://images.tcdn.com.br/img/img_prod/1265869/funil_para_ensacadeira_b2l_fino_16mm_508119_1_df7b762f42eec287a6ed17bf9011e606_20240123154524.jpg;;;;
508151;Funil Para Ensacadeira - B2L Grosso/26mm;https://images.tcdn.com.br/img/img_prod/1265869/funil_para_ensacadeira_b2l_grosso_26mm_508151_1_49cd27ea54773a01229e5b39c955c325_20240123154524.jpg;;;;
